country,average_monthly_cost_$,average_yearly_temperature,internet_speed_mbps,safety_index,Healthcare Index
iran,0.41339444225120914,0.5825242718446602,0.03931598947676118,0.4631901840490797,0.4847967201913222
iraq,0.12280709617675122,0.9579288025889967,0.08748903829289681,0.5766871165644172,0.3700034164673727
ireland,0.5475029776566621,0.3365695792880259,0.42426191172171884,0.5076687116564418,0.4636146224803554
israel,0.4946458303452834,0.7378640776699028,0.661853259280912,0.75,0.838742740006833
italy,0.2981965590402611,0.6407766990291262,0.26126863490207547,0.5184049079754602,0.6984967543559957
jamaica,0.16709408771459394,0.8446601941747572,0.23934522069570302,0.20398773006134968,0.466006149641271
japan,0.3049510167684163,0.5663430420711973,0.6251973107278573,0.8865030674846626,0.9492654595148615
jordan,0.12170509038980797,0.7184466019417475,0.4827535808243204,0.6242331288343559,0.7002049880423642
kazakhstan,0.0766278895741483,0.19417475728155337,0.22449576147325345,0.5444785276073618,0.6219678852066961
kenya,0.0647698006373121,0.7313915857605178,0.034200526161940956,0.37883435582822084,0.637171165015374
kuwait,0.35269641621092407,0.9870550161812297,0.5562700964630225,0.7346625766871167,0.5755039289374786
latvia,0.19885575877759137,0.35598705501618116,0.27144109909383224,0.6687116564417177,0.6518619747181413
lebanon,0.3184736313692232,0.7346278317152103,0.03361590178310436,0.5199386503067485,0.6738981892722924
libya,0.03909876258358745,0.8349514563106796,0.02034492838351359,0.3726993865030675,0.3623163648787155
luxembourg,0.655157737853967,0.3365695792880259,0.512043262204034,0.7131901840490797,0.8711991800478305
malaysia,0.10518922930138876,0.8867313915857605,0.38705057000876936,0.48773006134969327,0.7880081995216945
maldives,0.3673882677209546,0.8640776699029125,0.04475299619994154,0.4079754601226993,0.37068670994192005
malta,0.3584365899439389,0.7184466019417475,0.4678456591639872,0.5782208588957054,0.4762555517594807
mauritius,0.09142653138855454,0.8155339805825241,0.142443729903537,0.4708588957055215,0.69935087119918
mexico,0.1539013251860693,0.4110032362459547,0.2360128617363344,0.41871165644171776,0.8225145199863342
mongolia,0.06013307475009509,0.0,0.21256942414498686,0.4386503067484662,0.46788520669627615
montenegro,0.17884764687174565,0.627831715210356,0.2734580532008185,0.6947852760736195,0.28715408267851034
morocco,0.07714118457729748,0.6407766990291262,0.09687225957322419,0.5046012269938651,0.3865732832251451
mozambique,0.42185288193513387,0.8576051779935274,0.042239111370944174,0.3159509202453988,0.28886231636487875
namibia,0.1677964093514009,0.8122977346278317,0.03031277404267758,0.26380368098159507,0.6974718141441747
nepal,0.015522399461215627,0.656957928802589,0.20879859690149077,0.674846625766871,0.5715749914588317
netherlands,0.49867491512597273,0.3851132686084142,0.5832212803273896,0.8251533742331287,0.9434574649812093
new zealand,0.3882472463171635,0.38834951456310673,0.5036831335866705,0.4984662576687116,0.7579432866416125
nicaragua,0.10216792112795504,0.744336569579288,0.2335574393452207,0.4585889570552148,0.6376836351212845
nigeria,0.31243662735952005,0.9255663430420712,0.06679333528208126,0.21625766871165636,0.4087803211479331
norway,0.4812089597844863,0.21035598705501618,0.4387605963168665,0.73159509202454,0.8782029381619405
oman,0.27215314197342244,0.9579288025889967,0.23802981584332067,0.9570552147239264,0.6981551076187222
pakistan,0.0,0.8673139158576051,0.03691902952353113,0.567484662576687,0.6002733173898189
panama,0.2287900424666845,0.7896440129449838,0.48292896813797137,0.5828220858895705,0.6221387085753329
paraguay,0.12085700388498448,0.6699029126213591,0.27056416252557736,0.3205521472392638,0.6880765288691493
peru,0.11322578432411871,0.5339805825242718,0.577491961414791,0.20858895705521469,0.5473180731124019
philippines,0.12307818282618886,0.9029126213592232,0.266501023092663,0.5766871165644172,0.7338571916638197
poland,0.19528287515578685,0.4142394822006472,0.5255480853551593,0.7929447852760736,0.5753331055688418
portugal,0.2640328403570693,0.5631067961165048,0.5984215141771412,0.7453987730061351,0.8230269900922447
qatar,0.549199930157582,1.0,0.5542239111370945,0.9953987730061351,0.8406217970618381
romania,0.11668553035546882,0.5436893203883495,0.6851213095586086,0.7423312883435584,0.5512470105910487
rwanda,0.14033025486246659,0.8122977346278317,0.11128325051154632,0.8251533742331287,0.830714041680902
saudi arabia,0.2102620545727037,1.0,0.3467991815258697,0.871165644171779,0.6400751622822001
serbia,0.1023664042215278,0.5307443365695793,0.25624086524408074,0.6671779141104295,0.4735223778612914
singapore,1.0,0.8932038834951456,0.9999999999999999,0.8911042944785277,0.8141441749231295
slovakia,0.2059261603507087,0.4466019417475728,0.2602747734580532,0.7622699386503067,0.5869490946361462
slovenia,0.23615168796236824,0.4401294498381877,0.2746273019584917,0.8726993865030677,0.7177997950119577
somalia,0.11780451606063817,0.8932038834951456,0.04264834843612979,0.25766871165644173,0.277587974034848
south africa,0.18080455971214943,0.7411003236245954,0.13230049693072202,0.09202453987730064,0.676289716433208
south korea,0.2112397964592388,0.4207119741100323,0.5732534346682256,0.8558282208588956,1.0
spain,0.28521580003299374,0.5501618122977345,0.7153171587255188,0.6763803680981595,0.9057055005124701
sri lanka,0.0054386665086897795,0.9158576051779934,0.06354866997953815,0.5920245398773005,0.8049197130167407
sweden,0.31727431908839016,0.3268608414239482,0.5135340543700672,0.5015337423312882,0.7548684660061498
switzerland,0.7376544172211448,0.38187702265372164,0.7078631978953522,0.8312883435582823,0.8073112401776563
